,Date,Price,Open,High,Low,Volume,Chg%
48,2022-04-24,19.415,18.3525,21.755,18.2075,0,5.79%
47,2022-05-01,21.25,19.415,22.3875,18.4275,0,9.45%
46,2022-05-08,23.485,21.25,25.315,18.96,0,10.52%
45,2022-05-15,23.1,23.485,25.1475,17.095,0,-1.64%
44,2022-05-22,21.48,23.1,25.99,20.5,0,-7.01%
43,2022-05-29,19.975,21.48,21.48,18.23,0,-7.01%
42,2022-06-05,19.575,19.975,21.07,18.155,0,-2.00%
41,2022-06-12,22.7575,19.575,28.13,18.0225,0,16.26%
40,2022-06-19,20.55,22.7575,23.635,16.0025,0,-9.70%
39,2022-06-26,21.25,20.55,22.43,19.545,0,3.41%
38,2022-07-03,18.395,21.25,22.2475,18.22,0,-13.44%
37,2022-07-10,17.5975,18.395,19.215,16.6475,0,-4.34%
36,2022-07-17,16.65,17.5975,18.1825,15.6575,0,-5.38%
35,2022-07-24,16.55,16.65,18.645,16.1775,0,-0.60%
34,2022-07-31,18.915,16.55,21.06,15.8925,0,14.29%
33,2022-08-07,17.6075,18.915,20.77,17.41,0,-6.91%
32,2022-08-14,18.285,17.6075,18.5675,16.5475,0,3.85%
31,2022-08-21,18.215,18.285,20.215,15.825,0,-0.38%
30,2022-08-28,19.55,18.215,21.205,17.2575,0,7.33%
29,2022-09-04,17.7175,19.55,20.29,16.545,0,-9.37%
28,2022-09-11,19.8225,17.7175,20.2425,16.3925,0,11.88%
27,2022-09-18,20.5925,19.8225,21.205,16.4725,0,3.88%
26,2022-09-25,19.9675,20.5925,22.8975,18.805,0,-3.04%
25,2022-10-02,18.8125,19.9675,21.68,18.585,0,-5.78%
24,2022-10-09,18.2575,18.8125,20.9425,18.075,0,-2.95%
23,2022-10-16,17.28,18.2575,19.0775,15.5675,0,-5.35%
22,2022-10-23,15.9225,17.28,17.6725,14.79,0,-7.86%
21,2022-10-30,15.655,15.9225,16.855,14.68,0,-1.68%
20,2022-11-06,14.405,15.655,16.355,14.2775,0,-7.98%
19,2022-11-13,14.39,14.405,16.2625,12.555,0,-0.10%
18,2022-11-20,13.3325,14.39,16.2725,11.875,0,-7.35%
17,2022-11-27,13.45,13.3325,14.62,12.4075,0,0.88%
16,2022-12-04,13.4775,13.45,14.89,11.9125,0,0.20%
15,2022-12-11,14.07,13.4775,14.22,11.4325,0,4.40%
14,2022-12-18,16.16,14.07,16.48,12.4625,0,14.85%
13,2022-12-25,14.8675,16.16,17.23,14.2825,0,-8.00%
12,2023-01-01,15.025,14.8675,15.6825,14.305,0,1.06%
11,2023-01-08,14.46,15.025,16.225,14.395,0,-3.76%
10,2023-01-15,13.7875,14.46,15.3625,11.6425,0,-4.65%
9,2023-01-22,17.32,13.7875,18.0125,13.3,0,25.62%
8,2023-01-29,14.3975,17.32,19.39,14.27,0,-16.87%
7,2023-02-05,12.745,14.3975,15.205,12.0625,0,-11.48%
6,2023-02-12,13.085,12.745,14.095,10.1725,0,2.67%
5,2023-02-19,14.185,13.085,16.01,10.9225,0,8.41%
4,2023-02-26,12.18,14.185,15.0975,11.1,0,-14.13%
3,2023-03-05,13.4125,12.18,13.8175,11.78,0,10.12%
2,2023-03-12,14.7675,13.4125,17.355,13.4125,0,10.10%
1,2023-03-19,15.24,14.7675,17.22,13.9025,0,3.20%
0,2023-03-26,12.935,15.24,16.0925,12.0725,0,-15.12%
