Date,Price,Open,High,Low,Volume,Chg%
"Jun 14, 2022",21.8875,22.365,22.635,18.9475,0,-2.14%
"Jun 13, 2022",22.365,19.575,22.8025,19.575,0,14.25%
"Jun 10, 2022",19.575,19.14,19.755,18.255,0,2.27%
"Jun 09, 2022",19.14,19.8375,19.8375,18.155,0,-3.52%
"Jun 08, 2022",19.8375,20.425,20.6875,19.3875,0,-2.88%
"Jun 07, 2022",20.425,20.2025,21.07,19.4325,0,1.10%
"Jun 06, 2022",20.2025,19.975,20.6825,18.65,0,1.14%
"Jun 03, 2022",19.975,20.32,20.32,18.735,0,-1.70%
"Jun 02, 2022",20.32,20.845,20.9975,18.3825,0,-2.52%
"Jun 01, 2022",20.845,20.4775,21.3375,18.23,0,1.79%
"May 31, 2022",20.4775,19.98,20.75,19.68,0,2.49%
"May 30, 2022",19.98,21.48,21.48,19.72,0,-6.98%
"May 27, 2022",21.48,22.7175,22.7175,21.2,0,-5.45%
"May 26, 2022",22.7175,25.2825,25.2825,22.535,0,-10.15%
"May 25, 2022",25.2825,25.635,25.635,24.3625,0,-1.38%
"May 24, 2022",25.635,23.3975,25.99,23.155,0,9.56%
"May 23, 2022",23.3975,23.1,23.975,20.5,0,1.29%
"May 20, 2022",23.1,24.5575,24.5575,22.4425,0,-5.94%
"May 19, 2022",24.5575,22.295,25.1475,22.295,0,10.15%
"May 18, 2022",22.295,22.7425,23.06,21.34,0,-1.97%
"May 17, 2022",22.7425,24.5275,24.84,17.095,0,-7.28%
"May 16, 2022",24.5275,23.485,24.7125,21.275,0,4.44%
"May 13, 2022",23.485,24.265,24.265,20.9675,0,-3.21%
"May 12, 2022",24.265,22.8025,25.315,21.15,0,6.41%
"May 11, 2022",22.8025,22.3025,24.1875,20.4825,0,2.24%
"May 10, 2022",22.3025,22.0325,22.515,21.2175,0,1.23%
"May 09, 2022",22.0325,21.25,22.52,18.96,0,3.68%
"May 06, 2022",21.25,20.2925,21.81,19.3325,0,4.72%
"May 05, 2022",20.2925,21.8775,21.8775,19.615,0,-7.24%
"May 04, 2022",21.8775,20.2825,22.3875,18.4275,0,7.86%
"May 02, 2022",20.2825,19.415,21.0625,19.415,0,4.47%
"Apr 29, 2022",19.415,19.3775,19.6475,18.2075,0,0.19%
"Apr 28, 2022",19.3775,20.605,20.605,19.0225,0,-5.96%
"Apr 27, 2022",20.605,19.1875,21.365,19.1875,0,7.39%
"Apr 26, 2022",19.1875,21.2575,21.2575,19.005,0,-9.74%
"Apr 25, 2022",21.2575,18.3525,21.755,18.3525,0,15.83%
"Apr 22, 2022",18.3525,17.8525,18.76,17.8125,0,2.80%
"Apr 21, 2022",17.8525,18.6725,18.6725,13.35,0,-4.39%
"Apr 20, 2022",18.6725,19.775,20.265,17.835,0,-5.58%
"Apr 19, 2022",19.775,19.335,20.8075,14.6275,0,2.28%
"Apr 18, 2022",19.335,17.785,20.4825,17.785,0,8.72%
"Apr 13, 2022",17.785,18.1575,18.4025,16.1925,0,-2.05%
"Apr 12, 2022",18.1575,18.27,18.6725,15.085,0,-0.62%
"Apr 11, 2022",18.27,17.6875,19.145,16.6425,0,3.29%
"Apr 08, 2022",17.6875,18.9975,20.0875,17.53,0,-6.90%
"Apr 07, 2022",18.9975,19.0225,19.49,17.7175,0,-0.13%
"Apr 06, 2022",19.0225,18.4875,19.2825,16.81,0,2.89%
"Apr 05, 2022",18.4875,17.9075,18.63,16.79,0,3.24%
"Apr 04, 2022",17.9075,18.435,18.825,17.5925,0,-2.86%
"Apr 01, 2022",18.435,20.56,20.855,18.12,0,-10.34%
